County,State,Chain-type GDP Index,Current-dollar GDP,Real GDP (2017 dollars)
Abbeville,SC,98265.0,610992.0,572455.0
Acadia,LA,96868.0,1628503.0,1529858.0
Accomack,VA,104103.0,1902520.0,1785338.0
Ada,ID,114216.0,31120227.0,29310868.0
Adair,IA,126527.0,469924.0,442602.0
Adair,KY,10508.0,405648.0,375827.0
Adair,MO,96912.0,850303.0,785869.0
Adair,OK,88895.0,423568.0,395223.0
Adams,CO,110536.0,30217963.0,28329940.0
Adams,IA,83499.0,203772.0,196215.0
Adams,ID,103293.0,129908.0,120316.0
Adams,IL,95313.0,3476563.0,3262255.0
Adams,IN,96542.0,1754057.0,1669234.0
Adams,MS,97592.0,949957.0,917807.0
Adams,ND,95144.0,116859.0,108897.0
Adams,NE,97678.0,1918237.0,1793509.0
Adams,OH,47971.0,776407.0,720009.0
Adams,PA,90521.0,3909520.0,3655582.0
Adams,WA,123478.0,937969.0,899763.0
Adams,WI,110528.0,621602.0,584870.0
Addison,VT,95292.0,1664423.0,1565400.0
Aiken,SC,102296.0,7577816.0,6993919.0
Aitkin,MN,103113.0,505035.0,464111.0
Alachua,FL,105837.0,15105667.0,14002876.0
Alamance,NC,103511.0,6755550.0,6301602.0
Alameda,CA,104547.0,143723062.0,136360934.0
Alamosa,CO,10272.0,722891.0,673937.0
Albany,NY,10214.0,34839217.0,32422270.0
Albany,WY,9691.0,1660889.0,1528567.0
Albemarle + Charlottesville,VA,99174.0,12331659.0,11464945.0
Alcona,MI,98673.0,233971.0,217818.0
Alcorn,MS,10514.0,1345135.0,1245995.0
Aleutians East Borough,AK,76818.0,261702.0,240184.0
Aleutians West Census Area,AK,110535.0,954525.0,879026.0
Alexander,IL,96394.0,159799.0,149739.0
Alexander,NC,96662.0,863981.0,805506.0
Alexandria (Independent City),VA,95981.0,15362443.0,14475024.0
Alfalfa,OK,68459.0,328368.0,461427.0
Alger,MI,96743.0,249113.0,235085.0
Allamakee,IA,94353.0,628017.0,593063.0
Allegan,MI,107812.0,4955089.0,4645409.0
Allegany,MD,9318.0,3071071.0,2859022.0
Allegany,NY,88963.0,1615836.0,1510255.0
Alleghany,NC,91204.0,319111.0,295493.0
Alleghany + Covington,VA,96286.0,865531.0,825005.0
Allegheny,PA,99799.0,103116402.0,97688807.0
Allen,IN,96214.0,21447632.0,20249659.0
Allen,KS,111549.0,584556.0,553037.0
Allen,KY,90747.0,465266.0,437796.0
Allen,LA,99013.0,759217.0,696072.0
Allen,OH,99477.0,7899551.0,7671608.0
Allendale,SC,93088.0,301526.0,277523.0
Alpena,MI,98752.0,1128840.0,1043571.0
Alpine,CA,9393.0,115218.0,107899.0
Amador,CA,98175.0,1699836.0,1579109.0
Amelia,VA,9074.0,277875.0,258632.0
Amherst,VA,94027.0,814831.0,758220.0
Amite,MS,113286.0,263440.0,282509.0
Anchorage Municipality,AK,96428.0,23681886.0,22366993.0
Anderson,KS,130083.0,319388.0,305472.0
Anderson,KY,9627.0,583922.0,547796.0
Anderson,SC,106278.0,7631740.0,7154393.0
Anderson,TN,103122.0,5323041.0,4998448.0
Anderson,TX,10571.0,2081041.0,1959856.0
Andrew,MO,108596.0,336443.0,318931.0
Andrews,TX,99808.0,1804344.0,2658131.0
Androscoggin,ME,111201.0,5346444.0,5007785.0
Angelina,TX,1027.0,3362198.0,3237762.0
Anne Arundel,MD,97026.0,51531050.0,48721149.0
Anoka,MN,104003.0,16395578.0,15316736.0
Anson,NC,86471.0,761001.0,720070.0
Antelope,NE,139068.0,610370.0,583630.0
Antrim,MI,96243.0,608727.0,567251.0
Apache,AZ,90419.0,2567397.0,2387490.0
Appanoose,IA,98086.0,433459.0,402510.0
Appling,GA,106868.0,1725439.0,1640681.0
Appomattox,VA,97839.0,319991.0,293813.0
Aransas,TX,106576.0,733642.0,686447.0
Arapahoe,CO,107847.0,51942872.0,49209130.0
Archer,TX,105879.0,277861.0,285286.0
Archuleta,CO,102041.0,537775.0,509203.0
Arenac,MI,102893.0,447878.0,419860.0
Arkansas,AR,107539.0,1121695.0,1055797.0
Arlington,VA,108075.0,38110434.0,36742228.0
Armstrong,PA,90161.0,2137212.0,2060807.0
Armstrong,TX,150474.0,56569.0,54162.0
Aroostook,ME,10226.0,2770510.0,2592688.0
Arthur,NE,96313.0,19421.0,19256.0
Ascension,LA,98877.0,8404607.0,8130527.0
Ashe,NC,99808.0,825089.0,765753.0
Ashland,OH,103533.0,1921334.0,1791049.0
Ashland,WI,93188.0,748013.0,690837.0
Ashley,AR,101516.0,836711.0,804429.0
Ashtabula,OH,10316.0,3264442.0,3059453.0
Asotin,WA,106228.0,710679.0,656630.0
Assumption,LA,97497.0,493616.0,458518.0
