FIPS,State,County,"Poverty Estimate, All Ages","Poverty Percent, All Ages",Median Household Income,"Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17"
0,US,United States,38371394.0,11.9,67.34,11204423.0,15.7
0,AL,Alabama,714568.0,14.9,53.958,222934.0,20.9
1,AL,Autauga,6242.0,11.2,67.565,1912.0,14.9
3,AL,Baldwin,20189.0,8.9,71.135,5907.0,12.4
5,AL,Barbour,5548.0,25.5,38.866,1857.0,37.5
7,AL,Bibb,3549.0,17.8,50.907,941.0,21.9
9,AL,Blount,7525.0,13.1,55.203,2456.0,18.9
11,AL,Bullock,2552.0,30.8,33.124,790.0,38.7
13,AL,Butler,3954.0,20.6,42.268,1306.0,30.8
15,AL,Calhoun,15915.0,14.5,50.259,3963.0,16.7
17,AL,Chambers,5266.0,16.3,39.318,1731.0,26.2
19,AL,Cherokee,3827.0,14.7,50.388,1115.0,23.3
21,AL,Chilton,6094.0,13.9,52.693,2177.0,21.0
23,AL,Choctaw,2506.0,20.4,41.649,699.0,28.9
25,AL,Clarke,4471.0,19.5,44.178,1404.0,28.7
27,AL,Clay,1818.0,14.2,44.763,623.0,23.8
29,AL,Cleburne,2099.0,14.2,50.134,654.0,19.5
31,AL,Coffee,7303.0,13.9,54.203,2523.0,20.6
33,AL,Colbert,7864.0,14.4,54.185,2381.0,20.9
35,AL,Conecuh,2701.0,22.9,34.664,833.0,35.1
37,AL,Coosa,1808.0,17.4,46.509,490.0,28.8
39,AL,Covington,6219.0,17.1,43.544,1795.0,22.6
41,AL,Crenshaw,2262.0,16.8,45.927,777.0,25.6
43,AL,Cullman,10381.0,12.5,51.844,3196.0,17.4
45,AL,Dale,7440.0,15.5,48.493,2872.0,26.1
47,AL,Dallas,9471.0,26.7,37.679,3476.0,42.3
49,AL,DeKalb,10778.0,15.2,47.156,3407.0,20.2
51,AL,Elmore,8972.0,11.5,62.524,2956.0,16.6
53,AL,Escambia,6892.0,20.4,41.212,2074.0,26.1
55,AL,Etowah,15650.0,15.6,47.872,4889.0,22.9
57,AL,Fayette,2640.0,16.5,45.937,801.0,23.7
59,AL,Franklin,5357.0,17.2,40.448,1748.0,22.9
61,AL,Geneva,5492.0,21.0,39.882,1800.0,32.0
63,AL,Greene,2210.0,27.9,33.609,737.0,43.5
65,AL,Hale,3166.0,21.9,41.836,1010.0,30.0
67,AL,Henry,2743.0,16.2,51.126,809.0,23.5
69,AL,Houston,15534.0,14.8,54.391,5566.0,23.4
71,AL,Jackson,7777.0,15.3,46.606,2430.0,23.4
73,AL,Jefferson,92310.0,14.4,57.802,29432.0,20.1
75,AL,Lamar,2348.0,17.4,40.204,621.0,21.3
77,AL,Lauderdale,12630.0,13.9,52.293,3561.0,19.9
79,AL,Lawrence,5005.0,15.4,48.924,1525.0,21.9
81,AL,Lee,28901.0,17.9,58.963,5772.0,16.8
83,AL,Limestone,10285.0,10.4,70.85,3166.0,14.3
85,AL,Lowndes,2083.0,21.9,37.499,796.0,38.1
87,AL,Macon,4543.0,27.9,37.736,1187.0,39.3
89,AL,Madison,39100.0,10.5,67.81,10909.0,13.5
91,AL,Marengo,3370.0,18.3,43.198,1236.0,30.2
93,AL,Marion,4843.0,16.8,44.333,1423.0,23.6
95,AL,Marshall,14754.0,15.4,51.417,5860.0,24.6
97,AL,Mobile,71398.0,17.6,50.871,25682.0,27.3
99,AL,Monroe,4552.0,22.5,38.812,1247.0,29.9
101,AL,Montgomery,44058.0,20.4,49.607,14673.0,28.4
103,AL,Morgan,16995.0,14.4,55.688,5414.0,20.1
105,AL,Perry,2443.0,30.7,33.712,768.0,44.2
107,AL,Pickens,4050.0,22.7,41.87,1154.0,31.2
109,AL,Pike,6101.0,19.7,43.141,1748.0,28.3
111,AL,Randolph,3933.0,17.5,46.679,1285.0,27.3
113,AL,Russell,11702.0,20.3,40.821,4352.0,31.7
115,AL,St. Clair,9384.0,10.5,61.973,2902.0,14.6
117,AL,Shelby,15227.0,7.0,88.444,4078.0,8.2
119,AL,Sumter,3338.0,29.2,32.275,975.0,42.0
121,AL,Talladega,12958.0,16.9,44.802,3811.0,23.9
123,AL,Tallapoosa,6004.0,15.2,46.654,2114.0,26.3
125,AL,Tuscaloosa,28776.0,14.4,56.61,7490.0,17.4
127,AL,Walker,10219.0,16.4,46.519,3151.0,23.0
129,AL,Washington,2769.0,17.5,36.346,765.0,22.9
131,AL,Wilcox,2240.0,22.2,31.909,674.0,29.4
133,AL,Winston,4036.0,17.4,46.453,1056.0,22.8
