Year,State_initials,State,County,Democrat,Green,Libertarian,Other,Republican
2000,AK,ALASKA,DISTRICT 1,1284,475,0,216,4681
2000,AK,ALASKA,DISTRICT 10,2194,803,0,214,5673
2000,AK,ALASKA,DISTRICT 11,2043,743,0,234,3960
2000,AK,ALASKA,DISTRICT 12,2051,691,0,233,4626
2000,AK,ALASKA,DISTRICT 13,2661,1230,0,199,3853
2000,AK,ALASKA,DISTRICT 14,1626,342,0,150,3750
2000,AK,ALASKA,DISTRICT 15,2106,1068,0,243,2453
2000,AK,ALASKA,DISTRICT 16,1969,530,0,206,1980
2000,AK,ALASKA,DISTRICT 17,2230,641,0,269,4564
2000,AK,ALASKA,DISTRICT 18,2739,1484,0,238,5421
2000,AK,ALASKA,DISTRICT 19,2350,728,0,254,4619
2000,AK,ALASKA,DISTRICT 2,2081,846,0,226,4235
2000,AK,ALASKA,DISTRICT 20,2259,839,0,217,3648
2000,AK,ALASKA,DISTRICT 21,2309,810,0,247,3263
2000,AK,ALASKA,DISTRICT 22,2656,697,0,262,4910
2000,AK,ALASKA,DISTRICT 23,1282,283,0,104,2961
2000,AK,ALASKA,DISTRICT 24,1985,631,0,236,5063
2000,AK,ALASKA,DISTRICT 25,1697,743,0,272,5489
2000,AK,ALASKA,DISTRICT 26,1608,715,0,398,5869
2000,AK,ALASKA,DISTRICT 27,2199,1014,0,511,6714
2000,AK,ALASKA,DISTRICT 28,2116,1100,0,711,7113
2000,AK,ALASKA,DISTRICT 29,2806,1628,0,335,4054
2000,AK,ALASKA,DISTRICT 3,3693,1161,0,236,3135
2000,AK,ALASKA,DISTRICT 30,1698,538,0,225,3622
2000,AK,ALASKA,DISTRICT 31,1831,535,0,273,3326
2000,AK,ALASKA,DISTRICT 32,1389,285,0,181,4178
2000,AK,ALASKA,DISTRICT 33,1765,789,0,354,5804
2000,AK,ALASKA,DISTRICT 34,1300,407,0,204,5243
2000,AK,ALASKA,DISTRICT 35,1208,588,0,308,4278
2000,AK,ALASKA,DISTRICT 36,1945,383,0,242,3007
2000,AK,ALASKA,DISTRICT 37,1821,255,0,227,2725
2000,AK,ALASKA,DISTRICT 38,2015,267,0,227,2467
2000,AK,ALASKA,DISTRICT 39,2282,383,0,202,2321
2000,AK,ALASKA,DISTRICT 4,2715,768,0,213,4127
2000,AK,ALASKA,DISTRICT 40,1024,252,0,119,1831
2000,AK,ALASKA,DISTRICT 5,1931,751,0,210,3545
2000,AK,ALASKA,DISTRICT 6,1542,494,0,202,3862
2000,AK,ALASKA,DISTRICT 7,1893,1563,0,353,4868
2000,AK,ALASKA,DISTRICT 8,1498,809,0,300,5371
2000,AK,ALASKA,DISTRICT 9,1203,478,0,330,4789
2000,AK,ALASKA,DISTRICT 99,0,0,0,0,0
2000,AL,ALABAMA,AUTAUGA,4942,160,0,113,11993
2000,AL,ALABAMA,BALDWIN,13997,1033,0,578,40872
2000,AL,ALABAMA,BARBOUR,5188,46,0,65,5096
2000,AL,ALABAMA,BIBB,2710,52,0,66,4273
2000,AL,ALABAMA,BLOUNT,4977,154,0,175,12667
2000,AL,ALABAMA,BULLOCK,3395,24,0,52,1433
2000,AL,ALABAMA,BUTLER,3606,36,0,34,4127
2000,AL,ALABAMA,CALHOUN,15781,481,0,341,22306
2000,AL,ALABAMA,CHAMBERS,5616,95,0,86,6037
2000,AL,ALABAMA,CHEROKEE,3497,77,0,95,4154
2000,AL,ALABAMA,CHILTON,4806,92,0,128,10066
2000,AL,ALABAMA,CHOCTAW,3707,33,0,34,3600
2000,AL,ALABAMA,CLARKE,4679,33,0,52,5988
2000,AL,ALABAMA,CLAY,2045,52,0,67,3719
2000,AL,ALABAMA,CLEBURNE,1664,39,0,56,3333
2000,AL,ALABAMA,COFFEE,5220,155,0,121,9938
2000,AL,ALABAMA,COLBERT,10543,208,0,263,10518
2000,AL,ALABAMA,CONECUH,2783,35,0,34,2699
2000,AL,ALABAMA,COOSA,2104,34,0,47,2382
2000,AL,ALABAMA,COVINGTON,4440,123,0,89,8961
2000,AL,ALABAMA,CRENSHAW,1934,40,0,28,2793
2000,AL,ALABAMA,CULLMAN,9758,282,0,328,19157
2000,AL,ALABAMA,DALE,4906,188,0,119,10593
2000,AL,ALABAMA,DALLAS,10967,63,0,74,7360
2000,AL,ALABAMA,DEKALB,7056,175,0,227,12827
2000,AL,ALABAMA,ELMORE,6652,212,0,163,16777
2000,AL,ALABAMA,ESCAMBIA,4523,78,0,84,6975
2000,AL,ALABAMA,ETOWAH,17433,435,0,393,21087
2000,AL,ALABAMA,FAYETTE,3064,60,0,102,4582
2000,AL,ALABAMA,FRANKLIN,4793,72,0,119,6119
2000,AL,ALABAMA,GENEVA,2769,97,0,105,6588
2000,AL,ALABAMA,GREENE,3504,24,0,18,850
2000,AL,ALABAMA,HALE,4652,43,0,52,2984
2000,AL,ALABAMA,HENRY,2782,48,0,48,4054
2000,AL,ALABAMA,HOUSTON,9412,257,0,238,22150
