Year,State,State Initials,Democratic,Libertarian,Other,Republican,Region,Winner
1976,ALABAMA,AL,659170,1481,18129,504070,South,Democratic
1976,ALASKA,AK,44058,6785,1176,71555,West,Republican
1976,ARIZONA,AZ,295602,7647,20828,418642,West,Republican
1976,ARKANSAS,AR,498604,0,1028,267903,South,Democratic
1976,CALIFORNIA,CA,3742284,0,179242,3882244,West,Republican
1976,COLORADO,CO,460801,5338,31023,584278,West,Republican
1976,CONNECTICUT,CT,647895,0,19199,719261,Northeast,Republican
1976,DELAWARE,DE,122461,0,3401,109780,South,Democratic
1976,DISTRICT OF COLUMBIA,DC,137818,0,3139,27873,South,Democratic
1976,FLORIDA,FL,1636000,0,45100,1469531,South,Democratic
1976,GEORGIA,GA,979409,0,0,483743,South,Democratic
1976,HAWAII,HI,147375,3923,0,140003,West,Democratic
1976,IDAHO,ID,126549,3558,6674,204151,West,Republican
1976,ILLINOIS,IL,2271295,8057,77661,2364269,Midwest,Republican
1976,INDIANA,IN,1014714,0,21690,1183958,Midwest,Republican
1976,IOWA,IA,619931,1454,25054,632864,Midwest,Republican
1976,KANSAS,KS,430421,0,24672,502752,Midwest,Republican
1976,KENTUCKY,KY,615717,814,18759,531852,South,Democratic
1976,LOUISIANA,LA,661365,3134,25438,587446,South,Democratic
1976,MAINE,ME,232279,0,14369,236320,Northeast,Republican
1976,MARYLAND,MD,759612,0,0,672661,South,Democratic
1976,MASSACHUSETTS,MA,1429475,135,87672,1030276,Northeast,Democratic
1976,MICHIGAN,MI,1696714,5407,55727,1893742,Midwest,Republican
1976,MINNESOTA,MN,1070440,3529,56567,819395,Midwest,Democratic
1976,MISSISSIPPI,MS,381329,2609,17606,366846,South,Democratic
1976,MISSOURI,MO,998387,0,27770,927443,Midwest,Democratic
1976,MONTANA,MT,149259,0,5772,173703,West,Republican
1976,NEBRASKA,NE,233293,1476,12761,359219,Midwest,Republican
1976,NEVADA,NV,92479,1519,6605,101273,West,Republican
1976,NEW HAMPSHIRE,NH,147645,936,5111,185935,Northeast,Republican
1976,NEW JERSEY,NJ,1444653,9449,50682,1509688,Northeast,Republican
1976,NEW MEXICO,NM,201148,1110,2913,211419,West,Republican
1976,NEW YORK,NY,3244165,0,598184,2825913,Northeast,Democratic
1976,NORTH CAROLINA,NC,927365,2219,6362,741960,South,Democratic
1976,NORTH DAKOTA,ND,136078,256,7290,153684,Midwest,Republican
1976,OHIO,OH,2009959,8952,90919,2000626,Midwest,Democratic
1976,OKLAHOMA,OK,532442,0,14101,545708,South,Republican
1976,OREGON,OR,490407,0,47349,492120,West,Republican
1976,PENNSYLVANIA,PA,2328677,0,86506,2205604,Northeast,Democratic
1976,RHODE ISLAND,RI,227636,715,984,181249,Northeast,Democratic
1976,SOUTH CAROLINA,SC,450807,0,5627,346149,South,Democratic
1976,SOUTH DAKOTA,SD,147068,1619,486,151505,Midwest,Republican
1976,TENNESSEE,TN,825879,0,16498,633969,South,Democratic
1976,TEXAS,TX,2082319,0,36265,1953300,South,Democratic
1976,UTAH,UT,182110,0,21200,337908,West,Republican
1976,VERMONT,VT,77798,0,5717,100387,Northeast,Republican
1976,VIRGINIA,VA,813896,4648,41996,836554,South,Republican
1976,WASHINGTON,WA,717323,5042,55437,777732,West,Republican
1976,WEST VIRGINIA,WV,435864,0,0,314726,South,Democratic
1976,WISCONSIN,WI,1040232,3814,52303,1004987,Midwest,Democratic
1976,WYOMING,WY,62239,0,1387,92717,West,Republican
1980,ALABAMA,AL,636730,13318,37689,654192,South,Republican
1980,ALASKA,AK,41842,18479,12012,86112,West,Republican
1980,ARIZONA,AZ,246843,18784,78630,529688,West,Republican
1980,ARKANSAS,AR,398041,8970,27407,403164,South,Republican
1980,CALIFORNIA,CA,3082943,148390,828611,4522994,West,Republican
1980,COLORADO,CO,368009,25744,138433,652264,West,Republican
1980,CONNECTICUT,CT,541732,8570,178773,677210,Northeast,Republican
1980,DELAWARE,DE,105754,1974,16688,111252,South,Republican
1980,DISTRICT OF COLUMBIA,DC,130231,1104,19241,23313,South,Democratic
1980,FLORIDA,FL,1419475,30524,189977,2046951,South,Republican
1980,GEORGIA,GA,890955,15627,36055,654168,South,Democratic
1980,HAWAII,HI,135879,3269,34027,130112,West,Democratic
1980,IDAHO,ID,110192,8425,28115,290699,West,Republican
1980,ILLINOIS,IL,1981413,38939,371320,2358049,Midwest,Republican
1980,INDIANA,IN,844197,19627,122553,1255656,Midwest,Republican
1980,IOWA,IA,508672,13123,119840,676026,Midwest,Republican
1980,KANSAS,KS,326150,14470,72363,566812,Midwest,Republican
1980,KENTUCKY,KY,617417,5531,37405,635274,South,Republican
1980,LOUISIANA,LA,708453,8240,39045,792853,South,Republican
1980,MAINE,ME,220974,5119,58396,238522,Northeast,Republican
1980,MARYLAND,MD,726161,14192,119537,680606,South,Democratic
1980,MASSACHUSETTS,MA,1053802,22038,390619,1057631,Northeast,Republican
1980,MICHIGAN,MI,1661532,41597,291371,1915225,Midwest,Republican
1980,MINNESOTA,MN,954173,31593,192882,873268,Midwest,Democratic
1980,MISSISSIPPI,MS,429281,4702,16678,441089,South,Republican
1980,MISSOURI,MO,931182,14422,80039,1074181,Midwest,Republican
1980,MONTANA,MT,118032,9825,29281,206814,West,Republican
1980,NEBRASKA,NE,166424,9041,44854,419214,Midwest,Republican
1980,NEVADA,NV,66666,4358,17651,155017,West,Republican
1980,NEW HAMPSHIRE,NH,108864,2064,51357,221705,Northeast,Republican
1980,NEW JERSEY,NJ,1147364,20652,261111,1546557,Northeast,Republican
1980,NEW MEXICO,NM,167826,4365,33267,250779,West,Republican
1980,NEW YORK,NY,2728372,0,835887,2637700,Northeast,Democratic
1980,NORTH CAROLINA,NC,875635,9677,55503,915018,South,Republican
1980,NORTH DAKOTA,ND,79189,3743,24489,193695,Midwest,Republican
1980,OHIO,OH,1752414,49033,275611,2206545,Midwest,Republican
1980,OKLAHOMA,OK,402026,13828,38284,695570,South,Republican
1980,OREGON,OR,456890,25838,127744,571044,West,Republican
1980,PENNSYLVANIA,PA,1937540,33263,328826,2261872,Northeast,Republican
1980,RHODE ISLAND,RI,198342,2458,60374,154793,Northeast,Democratic
1980,SOUTH CAROLINA,SC,428220,4807,15954,439277,South,Republican
